ROBUSTNESS SWEEP — 3 budgets x 4 noise levels x 3 fresh seeds
  B  noise  seed |   const  greedy     GOV |           G-const          G-greedy  verdict
  1   0.10   101 |  0.7400  0.7380  0.7660 | +0.0260 [+0.0132] +0.0280 [+0.0189]  PASS
  1   0.10   202 |  0.7490  0.7520  0.7820 | +0.0330 [+0.0207] +0.0300 [+0.0216]  PASS
  1   0.10   303 |  0.7530  0.7505  0.7755 | +0.0225 [+0.0113] +0.0250 [+0.0164]  PASS
  1   0.15   101 |  0.7400  0.7380  0.7590 | +0.0190 [+0.0063] +0.0210 [+0.0120]  PASS
  1   0.15   202 |  0.7490  0.7520  0.7800 | +0.0310 [+0.0187] +0.0280 [+0.0196]  PASS
  1   0.15   303 |  0.7530  0.7505  0.7715 | +0.0185 [+0.0070] +0.0210 [+0.0124]  PASS
  1   0.25   101 |  0.7400  0.7380  0.7525 | +0.0125 [-0.0004] +0.0145 [+0.0057]  fail
  1   0.25   202 |  0.7490  0.7520  0.7715 | +0.0225 [+0.0104] +0.0195 [+0.0115]  PASS
  1   0.25   303 |  0.7530  0.7505  0.7630 | +0.0100 [-0.0012] +0.0125 [+0.0039]  fail
  1   0.35   101 |  0.7400  0.7380  0.7465 | +0.0065 [-0.0065] +0.0085 [-0.0007]  fail
  1   0.35   202 |  0.7490  0.7520  0.7680 | +0.0190 [+0.0073] +0.0160 [+0.0080]  PASS
  1   0.35   303 |  0.7530  0.7505  0.7585 | +0.0055 [-0.0056] +0.0080 [-0.0005]  fail
  2   0.10   101 |  0.7915  0.7895  0.8365 | +0.0450 [+0.0328] +0.0470 [+0.0350]  PASS
  2   0.10   202 |  0.7945  0.7975  0.8440 | +0.0495 [+0.0382] +0.0465 [+0.0359]  PASS
  2   0.10   303 |  0.7995  0.7970  0.8320 | +0.0325 [+0.0211] +0.0350 [+0.0237]  PASS
  2   0.15   101 |  0.7915  0.7895  0.8315 | +0.0400 [+0.0275] +0.0420 [+0.0294]  PASS
  2   0.15   202 |  0.7945  0.7975  0.8410 | +0.0465 [+0.0350] +0.0435 [+0.0327]  PASS
  2   0.15   303 |  0.7995  0.7970  0.8295 | +0.0300 [+0.0186] +0.0325 [+0.0210]  PASS
  2   0.25   101 |  0.7915  0.7895  0.8190 | +0.0275 [+0.0150] +0.0295 [+0.0172]  PASS
  2   0.25   202 |  0.7945  0.7975  0.8300 | +0.0355 [+0.0237] +0.0325 [+0.0216]  PASS
  2   0.25   303 |  0.7995  0.7970  0.8200 | +0.0205 [+0.0096] +0.0230 [+0.0113]  PASS
  2   0.35   101 |  0.7915  0.7895  0.8090 | +0.0175 [+0.0048] +0.0195 [+0.0067]  PASS
  2   0.35   202 |  0.7945  0.7975  0.8230 | +0.0285 [+0.0167] +0.0255 [+0.0146]  PASS
  2   0.35   303 |  0.7995  0.7970  0.8175 | +0.0180 [+0.0069] +0.0205 [+0.0083]  PASS
  3   0.10   101 |  0.8470  0.8470  0.8775 | +0.0305 [+0.0203] +0.0305 [+0.0203]  PASS
  3   0.10   202 |  0.8465  0.8465  0.8780 | +0.0315 [+0.0216] +0.0315 [+0.0216]  PASS
  3   0.10   303 |  0.8445  0.8445  0.8710 | +0.0265 [+0.0172] +0.0265 [+0.0172]  PASS
  3   0.15   101 |  0.8470  0.8470  0.8720 | +0.0250 [+0.0144] +0.0250 [+0.0144]  PASS
  3   0.15   202 |  0.8465  0.8465  0.8765 | +0.0300 [+0.0201] +0.0300 [+0.0201]  PASS
  3   0.15   303 |  0.8445  0.8445  0.8680 | +0.0235 [+0.0137] +0.0235 [+0.0137]  PASS
  3   0.25   101 |  0.8470  0.8470  0.8660 | +0.0190 [+0.0082] +0.0190 [+0.0082]  PASS
  3   0.25   202 |  0.8465  0.8465  0.8745 | +0.0280 [+0.0178] +0.0280 [+0.0178]  PASS
  3   0.25   303 |  0.8445  0.8445  0.8625 | +0.0180 [+0.0078] +0.0180 [+0.0078]  PASS
  3   0.35   101 |  0.8470  0.8470  0.8550 | +0.0080 [-0.0033] +0.0080 [-0.0033]  fail
  3   0.35   202 |  0.8465  0.8465  0.8715 | +0.0250 [+0.0142] +0.0250 [+0.0142]  PASS
  3   0.35   303 |  0.8445  0.8445  0.8600 | +0.0155 [+0.0051] +0.0155 [+0.0051]  PASS

  31/36 cells pass both comparisons
